model,train-data,test-data,accuracy,precision,recall,f1_score
Simple Neural Network,original,original,0.9646280991735537,0.9644902634593356,0.9542878730638459,0.9593619445499431
Simple Neural Network,original,rewritten,0.7976859504132231,0.8531017369727047,0.6494144314318095,0.7374517374517374
Simple Neural Network,combined,original,0.9596694214876033,0.9605212725182062,0.9467321496033245,0.9535768645357686
Simple Neural Network,combined,rewritten,0.8942148760330578,0.8849252013808976,0.8715527011711371,0.8781880472021317
Simple Neural Network,rewritten,original,0.9057851239669421,0.9739844819717024,0.8061956932376275,0.882182720132286
Simple Neural Network,rewritten,rewritten,0.8864462809917355,0.8977272727272727,0.8356630147336608,0.8655840344355312
